feed_type,breast_used,breast_left_time,breast_right_time,bottle_ml,start_time_label,end_time_label
Bottle Breast Milk,,0,0,59.1471,2018/07/02 04:13:15,
Bottle Breast Milk,,0,0,14.7868,2018/07/02 00:03:26,
,,0,0,0,2018/07/02 00:10:14,
Bottle Breast Milk,,0,0,22.1802,2018/07/01 22:18:48,
,,0,0,0,2018/07/01 21:08:05,
Bottle Breast Milk,,0,0,22.1802,2018/07/01 21:40:32,
Bottle Breast Milk,,0,0,59.1471,2018/07/01 19:47:31,
,,0,0,0,2018/07/01 19:30:58,
Bottle Breast Milk,,0,0,29.5735,2018/07/01 18:34:27,
Bottle Breast Milk,,0,0,59.1471,2018/07/01 17:00:10,
,,0,0,0,2018/07/01 17:40:51,
,,0,0,0,2018/07/01 14:20:52,
Bottle Breast Milk,,0,0,14.7868,2018/07/01 12:58:22,
,,0,0,0,2018/07/01 12:20:53,
Bottle Breast Milk,,0,0,59.1471,2018/07/01 11:40:42,
,,0,0,0,2018/07/01 10:15:46,
Bottle Breast Milk,,0,0,88.7206,2018/07/01 10:00:17,
Bottle Breast Milk,,0,0,73.9339,2018/07/01 07:04:30,
,,0,0,0,2018/07/01 07:00:05,
,,0,0,0,2018/07/01 04:01:33,
Bottle Breast Milk,,0,0,59.1471,2018/07/01 04:08:36,
Bottle Breast Milk,,0,0,22.1802,2018/07/01 00:40:25,
Bottle Breast Milk,,0,0,59.1471,2018/07/01 00:16:59,
,,0,0,0,2018/07/01 00:00:59,
,,0,0,0,2018/06/30 20:50:54,
Bottle Breast Milk,,0,0,51.7537,2018/06/30 21:07:52,
,,0,0,0,2018/06/30 19:30:19,
Bottle Breast Milk,,0,0,29.5735,2018/06/30 20:05:12,
Bottle Breast Milk,,0,0,14.7868,2018/06/30 19:00:03,
,,0,0,0,2018/06/30 17:32:51,
Bottle Breast Milk,,0,0,29.5735,2018/06/30 18:14:43,
Bottle Breast Milk,,0,0,29.5735,2018/06/30 17:36:40,
,,0,0,0,2018/06/30 14:30:41,
Bottle Breast Milk,,0,0,29.5735,2018/06/30 15:25:16,
Bottle Breast Milk,,0,0,59.1471,2018/06/30 14:25:03,
Bottle Breast Milk,,0,0,44.3603,2018/06/30 13:02:23,
,,0,0,0,2018/06/30 13:01:19,
Bottle Breast Milk,,0,0,59.1471,2018/06/30 11:43:43,
,,0,0,0,2018/06/30 10:00:19,
Bottle Breast Milk,,0,0,22.1802,2018/06/30 10:00:02,
Bottle Breast Milk,,0,0,66.5405,2018/06/30 09:05:11,
Bottle Breast Milk,,0,0,88.7206,2018/06/30 07:16:42,
,,0,0,0,2018/06/30 07:00:53,
,,0,0,0,2018/06/30 04:40:09,
Bottle Breast Milk,,0,0,59.1471,2018/06/30 04:13:10,
,,0,0,0,2018/06/30 00:10:31,
Bottle Breast Milk,,0,0,29.5735,2018/06/29 21:59:30,
,,0,0,0,2018/06/29 20:55:14,
Bottle Breast Milk,,0,0,59.1471,2018/06/29 21:31:44,
Bottle Breast Milk,,0,0,59.1471,2018/06/29 20:01:25,
,,0,0,0,2018/06/29 18:29:01,
Bottle Breast Milk,,0,0,81.3273,2018/06/29 17:00:48,
,,0,0,0,2018/06/29 15:41:34,
,,0,0,0,2018/06/29 13:50:38,
,,0,0,0,2018/06/29 11:40:17,
Bottle Breast Milk,,0,0,29.5735,2018/06/29 10:19:36,
Bottle Breast Milk,,0,0,59.1471,2018/06/29 10:00:23,
Bottle Breast Milk,,0,0,96.114,2018/06/29 07:20:56,
,,0,0,0,2018/06/29 09:40:56,
Bottle Breast Milk,,0,0,29.5735,2018/06/29 01:21:18,
,,0,0,0,2018/06/29 07:10:19,
,,0,0,0,2018/06/29 04:30:26,
Bottle Breast Milk,,0,0,59.1471,2018/06/29 04:10:36,
,,0,0,0,2018/06/29 00:00:50,
Bottle Breast Milk,,0,0,73.9339,2018/06/29 00:27:21,
Bottle Breast Milk,,0,0,14.7868,2018/06/28 23:00:38,
Bottle Breast Milk,,0,0,14.7868,2018/06/28 22:25:49,
Bottle Breast Milk,,0,0,29.5735,2018/06/28 22:06:08,
Bottle Breast Milk,,0,0,88.7206,2018/06/28 21:23:13,
,,0,0,0,2018/06/28 21:00:36,
,,0,0,0,2018/06/28 19:41:52,
Bottle Breast Milk,,0,0,59.1471,2018/06/28 18:45:14,
,,0,0,0,2018/06/28 17:30:24,
Bottle Breast Milk,,0,0,59.1471,2018/06/28 14:24:03,
Bottle Breast Milk,,0,0,59.1471,2018/06/28 16:46:48,
,,0,0,0,2018/06/28 14:13:14,
,,0,0,0,2018/06/28 12:01:18,
,,0,0,0,2018/06/28 10:00:32,
Bottle Breast Milk,,0,0,81.3273,2018/06/28 09:45:22,
Bottle Breast Milk,,0,0,59.1471,2018/06/28 07:27:37,
,,0,0,0,2018/06/28 07:00:03,
,,0,0,0,2018/06/28 04:00:54,
Bottle Breast Milk,,0,0,73.9339,2018/06/28 04:15:38,
Bottle Breast Milk,,0,0,7.3934,2018/06/28 01:00:50,
,,0,0,0,2018/06/28 00:00:34,
Bottle Breast Milk,,0,0,22.1802,2018/06/28 00:30:18,
Bottle Breast Milk,,0,0,59.1471,2018/06/27 23:39:38,
Bottle Breast Milk,,0,0,14.7868,2018/06/27 22:15:30,
,,0,0,0,2018/06/27 21:00:22,
Bottle Breast Milk,,0,0,29.5735,2018/06/27 20:22:48,
Bottle Breast Milk,,0,0,29.5735,2018/06/27 21:00:24,
Bottle Breast Milk,,0,0,59.1471,2018/06/27 19:50:48,
,,0,0,0,2018/06/27 19:00:30,
Bottle Breast Milk,,0,0,59.1471,2018/06/27 18:00:27,
,,0,0,0,2018/06/27 17:00:54,
Bottle Breast Milk,,0,0,44.3603,2018/06/27 16:00:46,
Bottle Breast Milk,,0,0,59.1471,2018/06/27 15:10:31,
,,0,0,0,2018/06/27 14:20:15,
,,0,0,0,2018/06/27 11:50:34,
Bottle Breast Milk,,0,0,59.1471,2018/06/27 11:00:38,
,,0,0,0,2018/06/27 09:06:30,
Bottle Breast Milk,,0,0,88.7206,2018/06/27 09:20:00,
,,0,0,0,2018/06/27 07:00:20,
Bottle Breast Milk,,0,0,59.1471,2018/06/27 06:15:06,
Bottle Breast Milk,,0,0,73.9339,2018/06/27 04:20:46,
,,0,0,0,2018/06/27 03:20:16,
,,0,0,0,2018/06/27 00:11:50,
Bottle Breast Milk,,0,0,96.114,2018/06/27 00:14:18,
Bottle Breast Milk,,0,0,51.7537,2018/06/26 21:26:43,
,,0,0,0,2018/06/26 21:09:11,
Bottle Breast Milk,,0,0,44.3603,2018/06/26 20:30:17,
,,0,0,0,2018/06/26 19:20:52,
Bottle Breast Milk,,0,0,81.3273,2018/06/26 18:45:47,
Bottle Breast Milk,,0,0,81.3273,2018/06/26 17:09:55,
,,0,0,0,2018/06/26 17:00:22,
,,0,0,0,2018/06/26 15:10:05,
Bottle Breast Milk,,0,0,29.5735,2018/06/26 13:50:18,
,,0,0,0,2018/06/26 12:00:43,
Bottle Breast Milk,,0,0,36.9669,2018/06/26 11:00:35,
Bottle Breast Milk,,0,0,51.7537,2018/06/26 10:47:24,
,,0,0,0,2018/06/26 09:00:40,
